date,year,location,species,type,count
6/27,2003,Takotna River,Coho,Estimated,0
6/27,2004,Takotna River,Chinook,Counted Live,7
6/27,2004,Takotna River,Chum,Counted Live,28
6/27,2004,Takotna River,Coho,Counted Live,0
6/27,2004,Takotna River,Sockeye,Counted Live,0
6/27,2005,Takotna River,Chinook,Counted Live,3
6/27,2005,Takotna River,Chum,Counted Live,9
6/27,2005,Takotna River,Coho,Counted Live,0
6/27,2005,Takotna River,Sockeye,Counted Live,0
6/27,2006,Takotna River,Chinook,Counted Live,0
6/27,2006,Takotna River,Chum,Counted Live,65
6/27,2006,Takotna River,Coho,Counted Live,0
6/27,2006,Takotna River,Sockeye,Counted Live,0
6/27,2007,Takotna River,Chinook,Counted Live,0
6/27,2007,Takotna River,Chum,Counted Live,15
6/27,2007,Takotna River,Coho,Counted Live,0
6/27,2007,Takotna River,Sockeye,Counted Live,0
6/27,2008,Takotna River,Chinook,Counted Live,1
6/27,2008,Takotna River,Chum,Counted Live,26
6/27,2008,Takotna River,Coho,Counted Live,0
6/27,2008,Takotna River,Sockeye,Counted Live,0
6/27,2009,Takotna River,Chinook,Counted Live,0
6/27,2009,Takotna River,Chum,Counted Live,21
6/27,2009,Takotna River,Coho,Counted Live,0
6/27,2009,Takotna River,Sockeye,Counted Live,0
6/27,2010,Takotna River,Chinook,Counted Live,0
6/27,2010,Takotna River,Chum,Counted Live,0
6/27,2010,Takotna River,Coho,Counted Live,0
6/27,2010,Takotna River,Sockeye,Counted Live,0
6/27,2011,Takotna River,Chinook,Estimated,0
6/27,2011,Takotna River,Chum,Estimated,0
6/27,2011,Takotna River,Coho,Estimated,0
6/27,2012,Takotna River,Chinook,Estimated,0
6/27,2012,Takotna River,Chum,Estimated,0
6/27,2012,Takotna River,Coho,Estimated,0
6/27,2013,Takotna River,Chinook,Counted Live,0
6/27,2013,Takotna River,Chum,Counted Live,13
6/27,2013,Takotna River,Coho,Counted Live,0
6/27,2013,Takotna River,Sockeye,Counted Live,0
6/27,2017,Takotna River,Chinook,Estimated,0
6/27,2017,Takotna River,Chum,Estimated,0
6/28,1996,Takotna River,Chinook,Calculated,8
6/28,1996,Takotna River,Chum,Calculated,58
6/28,1997,Takotna River,Chinook,Calculated,33
6/28,1997,Takotna River,Chum,Calculated,45
6/28,1998,Takotna River,Chinook,Calculated,0
6/28,1998,Takotna River,Chum,Calculated,0
6/28,2000,Takotna River,Chinook,Counted Live,0
6/28,2000,Takotna River,Chum,Counted Live,9
6/28,2000,Takotna River,Coho,Counted Live,0
6/28,2000,Takotna River,Sockeye,Counted Live,0
6/28,2001,Takotna River,Chinook,Counted Live,1
6/28,2001,Takotna River,Chum,Counted Live,4
6/28,2001,Takotna River,Coho,Counted Live,0
6/28,2001,Takotna River,Sockeye,Counted Live,0
6/28,2002,Takotna River,Chinook,Counted Live,4
6/28,2002,Takotna River,Chum,Counted Live,116
6/28,2002,Takotna River,Coho,Counted Live,0
6/28,2002,Takotna River,Sockeye,Counted Live,0
6/28,2003,Takotna River,Chinook,Estimated,0
6/28,2003,Takotna River,Chum,Estimated,1
6/28,2003,Takotna River,Coho,Estimated,0
6/28,2004,Takotna River,Chinook,Counted Live,16
6/28,2004,Takotna River,Chum,Counted Live,32
6/28,2004,Takotna River,Coho,Counted Live,0
6/28,2004,Takotna River,Sockeye,Counted Live,0
6/28,2005,Takotna River,Chinook,Counted Live,23
6/28,2005,Takotna River,Chum,Counted Live,14
6/28,2005,Takotna River,Coho,Counted Live,0
6/28,2005,Takotna River,Sockeye,Counted Live,0
6/28,2006,Takotna River,Chinook,Counted Live,0
6/28,2006,Takotna River,Chum,Counted Live,70
6/28,2006,Takotna River,Coho,Counted Live,0
6/28,2006,Takotna River,Sockeye,Counted Live,0
6/28,2007,Takotna River,Chinook,Counted Live,0
6/28,2007,Takotna River,Chum,Counted Live,19
6/28,2007,Takotna River,Coho,Counted Live,0
6/28,2007,Takotna River,Sockeye,Counted Live,0
6/28,2008,Takotna River,Chinook,Counted Live,1
6/28,2008,Takotna River,Chum,Counted Live,19
6/28,2008,Takotna River,Coho,Counted Live,0
6/28,2008,Takotna River,Sockeye,Counted Live,0
6/28,2009,Takotna River,Chinook,Counted Live,1
6/28,2009,Takotna River,Chum,Counted Live,18
6/28,2009,Takotna River,Coho,Counted Live,0
6/28,2009,Takotna River,Sockeye,Counted Live,0
6/28,2010,Takotna River,Chinook,Counted Live,0
6/28,2010,Takotna River,Chum,Counted Live,0
6/28,2010,Takotna River,Coho,Counted Live,0
6/28,2010,Takotna River,Sockeye,Counted Live,0
6/28,2011,Takotna River,Chinook,Estimated,0
6/28,2011,Takotna River,Chum,Estimated,0
6/28,2011,Takotna River,Coho,Estimated,0
6/28,2012,Takotna River,Chinook,Estimated,0
6/28,2012,Takotna River,Chum,Estimated,0
6/28,2012,Takotna River,Coho,Estimated,0
6/28,2013,Takotna River,Chinook,Counted Live,2
6/28,2013,Takotna River,Chum,Counted Live,25
6/28,2013,Takotna River,Coho,Counted Live,0
6/28,2013,Takotna River,Sockeye,Counted Live,0
6/28,2017,Takotna River,Chinook,Estimated,0
6/28,2017,Takotna River,Chum,Estimated,0
6/29,1996,Takotna River,Chinook,Calculated,21
6/29,1996,Takotna River,Chum,Calculated,127
6/29,1997,Takotna River,Chinook,Calculated,36
6/29,1997,Takotna River,Chum,Calculated,84
6/29,1998,Takotna River,Chinook,Calculated,0
6/29,1998,Takotna River,Chum,Calculated,0
6/29,2000,Takotna River,Chinook,Counted Live,1
6/29,2000,Takotna River,Chum,Counted Live,6
6/29,2000,Takotna River,Coho,Counted Live,0
6/29,2000,Takotna River,Sockeye,Counted Live,0
6/29,2001,Takotna River,Chinook,Counted Live,1
6/29,2001,Takotna River,Chum,Counted Live,19
6/29,2001,Takotna River,Coho,Counted Live,0
6/29,2001,Takotna River,Sockeye,Counted Live,0
6/29,2002,Takotna River,Chinook,Counted Live,3
6/29,2002,Takotna River,Chum,Counted Live,168
6/29,2002,Takotna River,Coho,Counted Live,0
6/29,2002,Takotna River,Sockeye,Counted Live,0
