"","ave_p_assess"
"327",0.630250426084327
"328",0.591290833899141
"329",0.558109088383033
"330",0.587355113942839
"331",0.562824045206789
"332",0.606885560393372
"333",0.531464876859906
"334",0.581847563230086
"335",0.584374475941908
"336",0.554611663375522
"337",0.576382547654348
"338",0.642688175842303
"339",0.482585696226899
"340",0.521016431945288
"341",0.526454118594608
"342",0.450262684319077
"343",0.568613988631133
"344",0.544257821634429
"345",0.523578843387456
"346",0.66189134751819
"347",0.535498512604759
"348",0.539452601853198
"349",0.529589180138787
"350",0.620978235140597
"351",0.567596623824878
"352",0.502826139893998
"353",0.526592325004896
"354",0.603979189228349
"355",0.578115364714233
"356",0.629500843310376
"357",0.539310597317299
"358",0.592819160393234
"359",0.574679474661569
"360",0.507363139786442
"361",0.606012524704221
"362",0.554127908399603
"363",0.53879459400396
"364",0.538624351753197
"365",0.519421056256305
"366",0.662187348720086
"367",0.552607127021866
"368",0.573359136294387
"369",0.68205324069704
"370",0.567509799308041
"371",0.555662908428236
"372",0.547272557556504
"373",0.527868955141509
"374",0.57701236666049
"375",0.610109861880846
"376",0.578317736932082
"377",0.575423952214881
"378",0.528132067711551
"379",0.56999538532982
"380",0.567764419662675
"381",0.540067677672973
"382",0.612738030838746
"383",0.584123828369267
"384",0.505510506748867
"385",0.546552275821852
"386",0.515897004759168
"387",0.618458954665826
"388",0.516342138291192
"389",0.571486077593555
"390",0.519731543685934
"391",0.537167915444027
"392",0.544517038683019
"393",0.546317318962918
"394",0.522789196279751
"395",0.516423560507209
"396",0.632781145882274
"397",0.611313059365452
"398",0.630870251430433
"399",0.603698723254986
"400",0.62300623751041
"401",0.579497433502314
"402",0.542613400759444
"403",0.540355660719786
"404",0.627623218966412
"405",0.46782099237981
"406",0.657962481729298
"407",0.582922374359248
"408",0.639611422176935
"409",0.599901253483371
"410",0.589066772893516
"411",0.715592625282983
"412",0.528465352306326
"413",0.633977307137714
"414",0.654037223624931
"415",0.562188510272327
"416",0.566408522960367
"417",0.529815345049215
"418",0.528021711003865
"419",0.578526856241144
"420",0.513194354320458
"421",0.537956615547498
"422",0.616355182640099
"423",0.653729645034494
"424",0.546343474457035
"425",0.540691943092587
"426",0.630417022566603
"427",0.57714650447878
"428",0.643894185843431
"429",0.548955120326828
"430",0.522762010820736
"431",0.59989574330599
"432",0.570726586903213
"433",0.603570190900437
"434",0.649816740979693
"435",0.615009369269301
"436",0.511310883278478
"437",0.610525728845341
"438",0.574670398718278
"439",0.584662095442229
"440",0.540567513022019
"441",0.622933876811239
"442",0.621293239214143
"443",0.491870127697336
"444",0.503374978968971
