"stock","year","mean","sd","median","lwr95CI","upr95CI","cv","obs"
"Holokuk",2001,195.750037375224,46.5881899153548,193.74528827612,109.309090933871,290.964344462907,0.237998370473115,1
"Holokuk",2002,1914.3222617137,341.993795754313,1882.63494894968,1339.94902139505,2675.21713274695,0.178650064617731,1
"Holokuk",2003,4087.70101830662,728.637734053912,4017.61718712056,2872.3668266856,5698.82546635282,0.178251229918904,1
"Holokuk",2004,2011.24824399743,359.201083266519,1978.18788304021,1410.02183361419,2810.21469237772,0.178596095404212,1
"Holokuk",2005,1903.13849452712,340.008800630733,1871.51431778742,1331.50417865056,2660.0239781429,0.178656887876789,1
"Holokuk",2006,2630.08336165511,469.185433050179,2586.40550137964,1845.09328398548,3672.02636847279,0.178391848673162,1
"Holokuk",2007,993.525430018249,179.203968166985,978.560973642774,686.250238046138,1389.72889227437,0.180371797995843,0
"Holokuk",2008,1560.16963413853,279.19522244761,1534.23509574908,1087.91274586209,2182.11427498814,0.178951837247988,1
"Holokuk",2009,2108.17422628117,376.414843779029,2073.96895050378,1477.43375575475,2945.46095683139,0.178550159226179,1
"Holokuk",2010,855.592301383707,155.063870866198,842.242639184856,588.217491101348,1201.44451339263,0.181235701414588,1
"Holokuk",2011,229.301338934977,51.1370941640382,226.751120159432,135.57898689115,335.477659240769,0.223012627844005,1
"Holokuk",2012,136.103279046774,39.456358053544,135.029943020537,61.6726176706747,216.168164235633,0.289900128269388,1
"Holokuk",2013,251.668873308146,54.3241118276038,248.74258992976,152.090045015343,365.141045848711,0.215855505345266,0
"Holokuk",2014,300.131864450012,61.550122930963,296.587772790985,188.695100489203,428.23800362232,0.205076935245622,1
"Holokuk",2015,288.948097263428,59.8493470452637,285.492586933564,180.49231160983,413.595254024409,0.207128365308806,1
"Holokuk",2016,374.690312360575,73.2669508626241,369.258650445968,245.551080274396,529.503438101567,0.195540019172199,1
"Holokuk",2017,523.807208181702,97.9140596690496,516.029346225447,353.892823889966,738.166596156026,0.186927667545737,1
"Kisaralik",1976,3388.36743042835,891.82729509915,3241.51042302905,2108.60719414863,5512.98526326854,0.263202652430881,0
"Kisaralik",1977,8912.72961729463,2345.83736102191,8527.54004417225,5526.08833011353,14531.9781286612,0.263200777062725,0
"Kisaralik",1978,14236.8483986668,3747.39946991112,13612.588414673,8831.16037288865,23227.0395209681,0.263218330698951,1
"Kisaralik",1979,4801.85029273955,1263.77908486495,4592.76778424422,2982.9507509399,7823.88509002243,0.263185857080092,0
"Kisaralik",1980,9118.86253471502,2400.09964327731,8724.64960741788,5653.99791602626,14868.6232046908,0.263201647589297,0
"Kisaralik",1981,6927.96409813265,1823.38381841047,6626.86864348418,4294.02260167044,11290.5669680335,0.263191868864035,0
"Kisaralik",1982,478.948538837791,129.26195599251,459.923780976196,288.119471181855,780.13770074182,0.269886940893849,1
"Kisaralik",1983,2310.58674791606,608.350144929501,2210.20173275445,1437.44600560079,3755.29813771936,0.263288164998859,0
"Kisaralik",1984,2887.75891669313,760.133234850589,2763.69590087155,1796.25283107697,4697.26769750292,0.263226002162619,0
"Kisaralik",1985,372.937324164451,102.431942653635,359.097358296056,218.187372392546,611.555367834486,0.274662620275751,1
"Kisaralik",1986,1845.31530573862,486.069375143118,1765.98692594058,1147.39164657517,2999.33131685115,0.263407220235763,0
"Kisaralik",1987,2864.20086898794,753.936706822285,2741.06531380268,1781.8074463032,4659.12646668098,0.263227595168172,0
"Kisaralik",1988,5119.88393675957,1347.48083722169,4896.03953977344,3178.98997720029,8340.74061648471,0.263185817074308,1
"Kisaralik",1989,897.103885604855,237.528271719625,858.856238250148,554.125872966189,1459.34233451857,0.264772314033035,1
"Kisaralik",1990,3718.18009830096,978.60478615057,3555.19173029257,2312.84394819354,6052.59389672501,0.263194563006173,1
"Kisaralik",1991,1279.92216081414,337.677875383305,1224.13933591943,794.556773199918,2084.6467585676,0.263826883947781,1
"Kisaralik",1992,4466.14811294064,1175.4310448151,4272.07069945838,2776.05757633027,7276.05292650716,0.263186758497617,0
"Kisaralik",1993,6126.9904761563,1612.55327331908,5859.16560014911,3799.78086035817,9982.46038689001,0.263188473948909,0
"Kisaralik",1994,7322.56139719453,1927.25175916682,7004.58420764222,4540.17644940775,11935.0018278616,0.263193663340973,1
